GameID,GameName
384,SNK 40th Anniversary Collection Review - It Belongs In A Museum
385,Deracine Review - Elementary
386,Football Manager 2019 Review - A Winning Strategy
387,Call Of Cthulhu Review - Squid Logic
388,Diablo 3: Eternal Collection Switch Review - Better With Age
389,Gwent Review - Heart Of The Cards
390,Black Bird Review - Featherweight
391,Transistor Review
392,My Hero One's Justice Review - In Their Own Quirky Ways
393,WWE 2K19 Review: A Step In The Right Direction
394,Return Of The Obra Dinn Review: The Good Ship
395,NBA 2K Playgrounds 2 Review - Ball Another Day
396,"Call Of Duty: Black Ops 4 Review - Zombies, Blackout, Multiplayer"
397,Reigns: Game Of Thrones Review: A Westerosi Romp
398,SoulCalibur 6 Review - The New Legend
399,Lego DC Super-Villains Review: Mediocre Mischief-Makers
400,Dark Souls Remastered Switch Review: A Very Special Revisit
401,Starlink: Battle for Atlas Review - Endless Space
402,Armello Review - Nintendo Switch Update
403,Luigi's Mansion Review - Old Haunts
404,The Missing Review - Lost And Found
405,Child of Light Review
406,Chasm Review: The Battle Below
407,Super Mario Party Review - Test Those Friendships
408,"World of Warcraft: Battle For Azeroth - Come One, Come All"
409,My Memory of Us Review - War Has Changed
410,FIFA 19 Nintendo Switch Review - Offside
411,Pathfinder: Kingmaker Review - The Classics
412,Assassin's Creed Odyssey Review - Glory Of Sparta
413,FIFA 19 Review - Golazo
414,"Forza Horizon 4 Review - Shifting Gears, Shifting Seasons"
415,Destiny 2: Forsaken Review - A Grindhouse
416,Cities: Skylines Review - In The Zone
417,Mega Man 11 Review - An Uneven Retro Romp
418,Freedom Planet Review -- Speedy Ambitions
419,Fist Of The North Star: Lost Paradise Review - Be The Tough Boy
420,The Bard's Tale IV: Barrows Deep Review - Lament
421,Final Fantasy XV: Pocket Edition HD Review - Nintendo Switch
422,Dragon Ball FighterZ Review: The Fast And The Furious
423,PES 2019 Review
424,Telltale's The Walking Dead: The Final Season Episode 2 Review
425,Life Is Strange 2: Episode 1 Review - What Doesn't Kill Us
426,Transference Review - In Another World
427,Star Control: Origins Review - Space Oddity
428,Broken Sword 5: The Serpent's Curse Review
429,The Gardens Between Review - Dance Among The Stars
430,NHL 19 Review - A Barnburner
431,Wasteland 2: Director's Cut Nintendo Switch Review
432,Zone Of The Enders: The 2nd Runner - MARS Review
433,Undertale Review - Nintendo Switch Update
434,Nintendo Labo Vehicle Kit Review: The Most Fun Labo Yet
435,Lamplight City Review - Cold Case
436,Frozen Synapse 2 Review - Cool-Headed
437,428: Shibuya Scramble Review - When Fates Collide
438,"NBA 2K19 Review - Another Year, Another Baller"
439,Valkyria Chronicles 4 Review - Soar High
440,Shadow Of The Tomb Raider Review - Guerilla Girl
441,NBA Live 19 Review - Dribbling Forward
442,Two Point Hospital Review - Laughter Is The Best Medicine
443,Marvel's Spider-Man PS4 Review: Amazing Fantasy
444,Strange Brigade Review - Co-op With Style
445,Planet Alpha Review: A Beautiful Planet
446,Donut County Review: Pit Falls
447,Little Dragons Cafe Review - Dragging On
448,Into The Breach Review: A Mechanized Masterpiece
449,Vigilante Review
450,The Messenger Review: Shuriken Sharp
451,The Golf Club 2019 Review
452,Hollow Knight Review - An Exceptional Adventure
453,Monster Hunter Generations Ultimate Review - A Formidable Beast
454,F1 2018 Review - Victory Lap
455,Death's Gambit Review - A Maddening Mission
456,The King's Bird Review: A Rocky Flight
457,Guacamelee 2 Review - Ready For A Challenge
458,H1Z1 Battle Royale PS4 Review: All Kills No Frills
459,The Walking Dead - The Final Season Episode 1: Done Running Review
460,Phantom Doctrine Review: Tactical Espionage Action
461,Flipping Death Review: Scythe Life
462,Madden NFL 19 Review
463,We Happy Few Review
464,Unavowed Review: Dressed To Possess
465,Monster Hunter World Review - Deadliest Catch
466,Overcooked 2 Review - A Great Second Course
467,Dead Cells Review: Rise From Your Grave
468,No Man's Sky Review
469,No Man's Sky Next Review: You Are Not Alone
470,WarioWare Gold Review - Worth Its Weight
471,The Banner Saga 3 Review
472,Mega Man X Legacy Collection 1 + 2 Review: Mega Museum
473,Earthfall Review: An Inferior Invasion
474,Semblance Review
475,Mothergunship Review: Bullet-Hell Extravaganza
476,20XX Review - Robot Generation
477,Fighting EX Layer Review: One-On-One Fun
478,Captain Toad: Treasure Tracker Nintendo Switch Review: Time For Adventure
479,Sonic Mania Plus Review - Encore! Encore!
480,Rainbow Skies Review: Rainbow in the Dark
481,The Crew 2 Review - On The Road Again
482,Wolfenstein 2: The New Colossus Nintendo Switch Review
483,Wreckfest Review: Crashing The Party
484,Lumines Remastered: Groove Is In The Heart
485,Crash Bandicoot N Sane Trilogy Review: Marsupial Makeover
486,Mario Tennis Aces Review: Aim High
487,Nier: Automata Review
488,The Awesome Adventures Of Captain Spirit - Mind Over Matter
489,Jurassic World Evolution Review: Life Finds A Way
490,Unravel 2 Review: Partners In Twine
491,Moonlighter Review: Open For Business
492,Sushi Striker: The Way Of Sushido Review - Cartoon Cuisine Combat
493,"West Of Loathing Review: Wild, Wild West"
494,BlazBlue: Cross Tag Battle Review - The Tag Team Dream
495,Onrush Review: Push It To The Limit
496,Golem Review: Hidden In Plain Sight
497,Vampyr Review: The City That Never Sleeps
498,Yoku’s Island Express Review: A Breath of Fresh Air
499,Dillon's Dead-Heat Breakers Review: Running On Fumes
500,The Forest Review: Are You Afraid Of The Dark?
501,Agony Review: A Captivating Disappointment
502,Street Fighter 30th Anniversary Collection Review - Keep The Past Alive
503,"Quarantine Circular Review: Who Are We, Really?"
504,Conan Exiles Review: Dull And Dense
505,Wizard Of Legend Review: Fast-Paced Action
506,Detroit: Become Human Review - To Err Is Human
507,Runner 3 Review: A Bit Of A Trip
508,State Of Decay 2 Review: The Limping Dead
509,Hyrule Warriors: Definitive Edition Review - The Great Zelda Spin-Off Is Back
510,Framed Collection Review - Worth A Thousand Words
511,Battle Chasers Nightwar Review: Switch It Up
512,Battle Chasers: Nightwar Review
513,FAR: Lone Sails Review: Come Sail Away
514,Destiny 2: Warmind Review - Back To Work
515,Pillars Of Eternity 2: Deadfire Review - A Pirate's Life For Me
516,Battletech Review: A Tactical PC Game That Will Mech Your Day
517,"Total War Saga: Thrones Of Britannia Review - Rule, Britannia"
518,City of Brass Review - Hidden Treasure
519,Nintendo Labo Review: Variety Kit And Robot Kit
520,Donkey Kong Country: Tropical Freeze Review - A Blast From The Past
521,Donkey Kong Country: Tropical Freeze Review
522,Jotun: Valhalla Edition Switch Review - A Slight Downgrade
523,"Frostpunk Review: Damned If You Do, Damned If You Don't"
524,The Invisible Hours Review: From Every Angle
525,The Swords Of Ditto Review: One Good Turn Deserves Another
526,The Alliance Alive Review: A Change Of Pace
527,Life Is Strange: Before The Storm Review - Keep the Good Times Rolling
528,Yakuza 6: The Song Of Life Review: Tokyo Drifter
529,"God Of War Review: Out With The Old, In With The New"
530,Penny-Punching Princess Review: In For A Pound
531,Extinction Review - A Giant Mess
532,Fortnite: Battle Royale Review - Laying The Foundation
533,Far Cry 5 Review: Rocky Mountain High
534,Minit Review - Gone In 60 Seconds
535,Kerbal Space Program: Making History Review - Shoot For The Mun
536,Orwell: Ignorance Is Strength Review - Staunch Surveillance
537,MLB The Show 18 Review: A Home Run
538,Sea Of Thieves Review: Set Sail With Trepidation
539,Bridge Constructor Portal Review
540,Batman: The Enemy Within Episode 5 Review - No More Joking Around
